################################################################
# abuse.ch URLhaus Database Dump (CSV)                         #
# Last updated: 2024-10-27 14:19:30 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"3257894","2024-10-27 14:19:30","http://117.210.189.54:35736/Mozi.m","online","2024-10-27 14:19:30","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257894/","lrz_urlhaus"
"3257893","2024-10-27 14:19:11","http://bitbucket.org/georgy1ss1s/geoasdfasdf/downloads/Project_Slayers_Script.rar","online","2024-10-27 14:19:11","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257893/","abus3reports"
"3257891","2024-10-27 14:19:07","http://117.247.28.86:40415/Mozi.m","online","2024-10-27 14:19:07","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257891/","lrz_urlhaus"
"3257892","2024-10-27 14:19:07","http://117.253.6.114:50012/Mozi.m","online","2024-10-27 14:19:07","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257892/","lrz_urlhaus"
"3257889","2024-10-27 14:19:06","http://116.2.140.152:59738/Mozi.m","online","2024-10-27 14:19:06","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257889/","lrz_urlhaus"
"3257890","2024-10-27 14:19:06","http://58.47.27.224:37966/Mozi.m","online","2024-10-27 14:19:06","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257890/","lrz_urlhaus"
"3257888","2024-10-27 14:18:57","http://bitbucket.org/jwgo-software/software_good/downloads/Movavi_Video_Editor_update_2023_version.zip","online","2024-10-27 14:18:57","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257888/","abus3reports"
"3257887","2024-10-27 14:18:55","http://bitbucket.org/jwgo-software/software_good/downloads/Rust_Cheat_Update.zip","online","2024-10-27 14:18:55","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257887/","abus3reports"
"3257885","2024-10-27 14:18:54","http://bitbucket.org/jwgo-software/software_good/downloads/FILMORA_12_NEW_Version.zip","online","2024-10-27 14:18:54","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257885/","abus3reports"
"3257886","2024-10-27 14:18:54","http://bitbucket.org/jwgo-software/software_good/downloads/FL_Studio_21_UPDATE.zip","online","2024-10-27 14:18:54","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257886/","abus3reports"
"3257884","2024-10-27 14:18:44","http://bitbucket.org/jwgo-software/software_good/downloads/Adobe_Premier_Pro_UPDATE.zip","online","2024-10-27 14:18:44","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257884/","abus3reports"
"3257883","2024-10-27 14:18:29","http://bitbucket.org/jwgo-software/software_good/downloads/Adobe_Photoshop_UPDATE.zip","online","2024-10-27 14:18:29","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257883/","abus3reports"
"3257882","2024-10-27 14:18:25","http://bitbucket.org/jwgo-software/software_good/downloads/Adobe_Photoshop_2023_UPDATE.zip","online","2024-10-27 14:18:25","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257882/","abus3reports"
"3257881","2024-10-27 14:18:24","http://bitbucket.org/jwgo-software/software_good/downloads/Adobe_Illustrator_2023.zip","online","2024-10-27 14:18:24","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257881/","abus3reports"
"3257880","2024-10-27 14:18:22","http://bitbucket.org/jwgo-software/software_good/downloads/Adobe_Installer.zip","online","2024-10-27 14:18:22","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257880/","abus3reports"
"3257879","2024-10-27 14:17:18","http://bitbucket.org/tautara-dwnl/download/downloads/Anime_Adventure.rar","online","2024-10-27 14:17:18","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257879/","abus3reports"
"3257878","2024-10-27 14:17:17","http://bitbucket.org/tautara-dwnl/download/downloads/MW3_Unlocker.rar","online","2024-10-27 14:17:17","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257878/","abus3reports"
"3257877","2024-10-27 14:17:14","http://bitbucket.org/monkeymanusa12/man/raw/main/nvcontainer.exe","online","2024-10-27 14:17:14","malware_download","bitbucket,QuasarRAT","https://urlhaus.abuse.ch/url/3257877/","abus3reports"
"3257876","2024-10-27 14:17:10","http://bitbucket.org/jwgo-software/software_good/downloads/SvCpJuhbT.exe","online","2024-10-27 14:17:10","malware_download","bitbucket,goback,RedLineStealer","https://urlhaus.abuse.ch/url/3257876/","abus3reports"
"3257875","2024-10-27 14:17:08","http://117.223.0.158:39269/i","online","2024-10-27 14:17:08","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3257875/","geenensp"
"3257874","2024-10-27 14:16:32","http://175.150.183.76:44903/bin.sh","online","2024-10-27 14:16:32","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3257874/","geenensp"
"3257869","2024-10-27 14:16:25","http://bitbucket.org/tautara-dwnl/download/downloads/Tautara_Hack.rar","online","2024-10-27 14:16:25","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257869/","abus3reports"
"3257870","2024-10-27 14:16:25","http://bitbucket.org/tautara-dwnl/download/downloads/Anime_Champions.rar","online","2024-10-27 14:16:25","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257870/","abus3reports"
"3257871","2024-10-27 14:16:25","http://bitbucket.org/tautara-dwnl/download/downloads/Pet_SimulatorX.rar","online","2024-10-27 14:16:25","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257871/","abus3reports"
