################################################################
# abuse.ch URLhaus Database Dump (CSV)                         #
# Last updated: 2024-10-27 14:19:30 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"3257894","2024-10-27 14:19:30","http://117.210.189.54:35736/Mozi.m","online","2024-10-27 14:19:30","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257894/","lrz_urlhaus"
"3257893","2024-10-27 14:19:11","http://bitbucket.org/georgy1ss1s/geoasdfasdf/downloads/Project_Slayers_Script.rar","online","2024-10-27 14:19:11","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257893/","abus3reports"
"3257891","2024-10-27 14:19:07","http://117.247.28.86:40415/Mozi.m","online","2024-10-27 14:19:07","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257891/","lrz_urlhaus"
"3257892","2024-10-27 14:19:07","http://117.253.6.114:50012/Mozi.m","online","2024-10-27 14:19:07","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257892/","lrz_urlhaus"
"3257889","2024-10-27 14:19:06","http://116.2.140.152:59738/Mozi.m","online","2024-10-27 14:19:06","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257889/","lrz_urlhaus"
"3257890","2024-10-27 14:19:06","http://58.47.27.224:37966/Mozi.m","online","2024-10-27 14:19:06","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/3257890/","lrz_urlhaus"
"3257888","2024-10-27 14:18:57","http://bitbucket.org/jwgo-software/software_good/downloads/Movavi_Video_Editor_update_2023_version.zip","online","2024-10-27 14:18:57","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257888/","abus3reports"
"3257887","2024-10-27 14:18:55","http://bitbucket.org/jwgo-software/software_good/downloads/Rust_Cheat_Update.zip","online","2024-10-27 14:18:55","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257887/","abus3reports"
"3257885","2024-10-27 14:18:54","http://bitbucket.org/jwgo-software/software_good/downloads/FILMORA_12_NEW_Version.zip","online","2024-10-27 14:18:54","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257885/","abus3reports"
"3257886","2024-10-27 14:18:54","http://bitbucket.org/jwgo-software/software_good/downloads/FL_Studio_21_UPDATE.zip","online","2024-10-27 14:18:54","malware_download","bitbucket","https://urlhaus.abuse.ch/url/3257886/","abus3reports"
